cima,esquerda,baixo,direita,meio_x,meio_y,classe,classe_prob,prob,img_x,img_y,data,yaw
181,90,308,181,135.5,244.5,proa,proa 0.40,0.40,259.5,195.0,2021-04-26 19:19:53.434284,36.48894783433221
176,93,313,177,135.0,244.5,proa,proa 0.38,0.38,259.5,195.0,2021-04-26 19:19:59.904938,36.475779229612435
181,91,309,180,135.5,245.0,proa,proa 0.33,0.33,259.5,195.0,2021-04-26 19:20:06.385486,36.446395755803024
182,91,307,179,135.0,244.5,proa,proa 0.38,0.38,259.5,195.0,2021-04-26 19:20:09.609633,36.46850507814638
183,88,306,181,134.5,244.5,proa,proa 0.40,0.40,259.5,195.0,2021-04-26 19:20:12.782930,36.468054285661154
181,89,308,181,135.0,244.5,proa,proa 0.35,0.35,259.5,195.0,2021-04-26 19:20:19.269235,36.481444871528936
182,91,307,179,135.0,244.5,proa,proa 0.30,0.30,259.5,195.0,2021-04-26 19:20:22.478699,36.43756773630079
180,89,308,182,135.5,244.0,proa,proa 0.42,0.42,259.5,195.0,2021-04-26 19:20:25.658686,36.49510524986897
184,88,305,182,135.0,244.5,proa,proa 0.38,0.38,259.5,195.0,2021-04-26 19:20:28.988578,30.080000336096237
184,92,304,180,136.0,244.0,proa,proa 0.32,0.32,259.5,195.0,2021-04-26 19:20:32.446604,22.86237551560368
218,69,347,366,217.5,282.5,meianau,meianau 0.55,0.55,259.5,195.0,2021-04-26 19:20:36.118480,22.804441851063633
218,44,351,386,215.0,284.5,meianau,meianau 0.49,0.49,259.5,195.0,2021-04-26 19:20:39.809248,22.764888225580087
220,45,347,385,215.0,283.5,meianau,meianau 0.51,0.51,259.5,195.0,2021-04-26 19:20:42.994742,22.733599128992267
221,51,348,379,215.0,284.5,meianau,meianau 0.51,0.51,259.5,195.0,2021-04-26 19:20:46.187676,22.727527090820125
220,52,348,378,215.0,284.0,meianau,meianau 0.51,0.51,259.5,195.0,2021-04-26 19:20:49.406225,22.68918240881967
222,48,346,382,215.0,284.0,meianau,meianau 0.53,0.53,259.5,195.0,2021-04-26 19:20:52.636174,22.634779952080518
220,54,348,376,215.0,284.0,meianau,meianau 0.51,0.51,259.5,195.0,2021-04-26 19:20:55.849477,22.619910630257404
221,52,348,378,215.0,284.5,meianau,meianau 0.52,0.52,259.5,195.0,2021-04-26 19:20:58.999841,22.61753372442623
218,50,350,379,214.5,284.0,meianau,meianau 0.44,0.44,259.5,195.0,2021-04-26 19:21:02.242240,22.5957454209739
220,48,349,380,214.0,284.5,meianau,meianau 0.49,0.49,259.5,195.0,2021-04-26 19:21:05.586621,18.44277183955272
220,50,349,379,214.5,284.5,meianau,meianau 0.48,0.48,259.5,195.0,2021-04-26 19:21:08.876367,11.502568812578556
219,0,349,410,205.0,284.0,meianau,meianau 0.41,0.41,259.5,195.0,2021-04-26 19:21:12.070271,12.86289660843498
198,70,339,446,258.0,268.5,meianau,meianau 0.42,0.42,259.5,195.0,2021-04-26 19:21:38.289190,34.196678292268
195,76,342,443,259.5,268.5,meianau,meianau 0.46,0.46,259.5,195.0,2021-04-26 19:21:41.584281,33.85858051325776
179,13,314,196,104.5,246.5,proa,proa 0.48,0.48,259.5,195.0,2021-04-26 19:21:41.584323,33.85858051325776
198,79,341,440,259.5,269.5,meianau,meianau 0.46,0.46,259.5,195.0,2021-04-26 19:21:44.906302,42.11930840870009
181,11,313,198,104.5,247.0,proa,proa 0.43,0.43,259.5,195.0,2021-04-26 19:21:44.906321,42.11930840870009
199,85,339,434,259.5,269.0,meianau,meianau 0.46,0.46,259.5,195.0,2021-04-26 19:21:48.390356,49.34133187101814
175,19,319,190,104.5,247.0,proa,proa 0.51,0.51,259.5,195.0,2021-04-26 19:21:48.390384,49.34133187101814
178,100,366,519,309.5,272.0,meianau,meianau 0.33,0.33,259.5,195.0,2021-04-26 19:21:51.761933,49.47024827650755
203,147,349,436,291.5,276.0,meianau,meianau 0.45,0.45,259.5,195.0,2021-04-26 19:22:12.156834,32.2164220367737
184,49,306,175,112.0,245.0,proa,proa 0.69,0.69,259.5,195.0,2021-04-26 19:22:12.156856,32.2164220367737
201,150,354,432,291.0,277.5,meianau,meianau 0.30,0.30,259.5,195.0,2021-04-26 19:22:15.578976,32.36512208519406
166,56,325,165,110.5,245.5,proa,proa 0.73,0.73,259.5,195.0,2021-04-26 19:22:15.578999,32.36512208519406
163,56,328,165,110.5,245.5,proa,proa 0.75,0.75,259.5,195.0,2021-04-26 19:22:18.831483,32.4503628460358
165,57,325,165,111.0,245.0,proa,proa 0.76,0.76,259.5,195.0,2021-04-26 19:22:22.119764,32.57040342069878
164,55,326,166,110.5,245.0,proa,proa 0.76,0.76,259.5,195.0,2021-04-26 19:22:25.540946,32.65386833235635
